Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=bfdab41ec9b9469f,PM(서비스/개발),서울 영등포구,"Data Science 제반 지식, AWS/GCP 등 Cloud 기반 서비스 관련 프로젝트 업무 경험 - Python, JAVA, RESTAPI, Database 등 개발 관련 언어/기술 이해 역량 우대 - AWS, GCP..."
https://kr.indeed.com/viewjob?jk=6c747a14b86bc843,[전문연구요원] 반도체IP SW 개발자,서울 강남구,c++ c embedded matlab 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>전산·IT기술지원>S/W 엔지니어
https://kr.indeed.com/viewjob?jk=835324335bc1c7da,[현대무벡스] 경력사원 상시,서울 종로구,ABAP|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=bd4560a615f241cc,[일 7시간] PHP 웹 백엔드 개발자,성남 분당구,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터사이언스|인터...
https://kr.indeed.com/viewjob?jk=60316b7ad62ed396,[11번가] System Engineer 분야,서울 중구,"이런 일을 합니다.[Linux, IaC( python, java, bash 등), Private/public Cloud, Web/WAS/Cache/ELK ]시스템엔지니어링 조직은 대용량 DBMS, 대규모 가상화 클러스터 및..."
https://kr.indeed.com/viewjob?jk=97e9de2381da633d,Kafka 담당자 영입,성남 분당구,카오페이 크루가 일하는 방법 자세히 보기- 카카오페이 문화에 대해 더 알아보기- 카카오페이 기술 블로그 보러 가기 인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/viewjob?jk=8a72a54b3c4dd7c9,디지털융합사업 스마트테크부문 7월 정기,서울특별시,"개발 경험 - Java, Python, Lamda, StepFuction... 우대 3. 우대사항 - 클라우드(AWS) 환경 개발 경험자, Python 개발 경험자 Unity3D 개발 2년 이상 1. 담당업무..."
https://kr.indeed.com/viewjob?jk=1efccbba85fd37b9,[로민] 플랫폼 개발 리드(개발PM),서울 서초구,바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>자연어처리|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=bd678ac9cf1ed131,컴퓨터비전 개발자 경력 정규직,서울 성동구,바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++
https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac,[인재풀] 아티스트 ART,서울,3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험 Electronic...
https://kr.indeed.com/viewjob?jk=6df509cc3cbe91c5,자동차 전장 SW Engineering 분야 전문가,서울 강서구,"시스템, 릴리즈 관리, 변경 관리 경험 3년 이상 - Yocto, Android 등 개발 환경 - C/C++, Python, Git, Gerrit, CMake, Make 등 - 컨테이너, 클라우드 기반의 빌드 환경 ﻿구축..."
https://kr.indeed.com/viewjob?jk=063bf8e8fc2de8d4,"Customer Engineer, Gaming, Google Cloud",서울 강남구,"Kotlin, C#, Python, Perl... Shell... 응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162,AI 영상처리 알고리즘 개발자,성남 분당구,"이론과 지식 보유 (필수)Deep Learning, Machine Learning 활용 개발 역량 (필수) Python, C/C++ 기반 영상 처리/분석 알고리즘 개발 역량 (필수)</ 인터넷·IT·통신·모바일·게임>응용프로그..."
https://kr.indeed.com/viewjob?jk=37f51a8d4e34cfce,[넥슨코리아] 클라우드 시스템 엔지니어,경기도 성남,트워크 관련 기반 지식 보유 - Python/Bash/Powershell... MSA 환경의 서비스 운영 경험 - 서비스 아키텍처 제안 경험 - Python/Go/Java 등 1개 이상의 개발 경험 기타사항 - 본 공고는...
